Location,Latitude,Longitude
Albury,-36.0737,146.9135
Badgerys Creek,-33.9200,150.7400
Cobar,-31.4980,145.8380
Coffs Harbour,-30.2963,153.1141
Moree,-29.4633,149.8410
Newcastle,-32.9283,151.7817
Norah Head,-33.2810,151.5760
Norfolk Island,-29.0408,167.9547
Penrith,-33.7510,150.6920
Richmond,-33.6000,150.7500
Sydney,-33.8688,151.2093
Sydney Airport,-33.9399,151.1753
Wagga Wagga,-35.1150,147.3670
Williamtown,-32.7940,151.8350
Wollongong,-34.4278,150.8931
Canberra,-35.2809,149.1300
Tuggeranong,-35.4150,149.0670
Mount Ginini,-35.5290,148.7720
Ballarat,-37.5622,143.8503
Bendigo,-36.7570,144.2794
Sale,-38.1060,147.0730
Melbourne Airport,-37.6690,144.8410
Melbourne,-37.8136,144.9631
Mildura,-34.2080,142.1230
Nhil,-36.3330,141.6500
Portland,-38.3430,141.6050
Watsonia,-37.7160,145.0830
Dartmoor,-37.9160,141.2720
Brisbane,-27.4698,153.0251
Cairns,-16.9186,145.7781
Gold Coast,-28.0167,153.4000
Townsville,-19.2589,146.8169
Adelaide,-34.9285,138.6007
Mount Gambier,-37.8310,140.7790
Nuriootpa,-34.4680,138.9960
Woomera,-31.1980,136.8250
Albany,-35.0270,117.8830
Witchcliffe,-34.0080,115.1000
Pearce RAAF,-31.6670,116.0170
Perth Airport,-31.9403,115.9668
Perth,-31.9505,115.8605
Salmon Gums,-32.9710,121.6350
Walpole,-34.9790,116.7330
Hobart,-42.8821,147.3272
Launceston,-41.4545,147.1362
Alice Springs,-23.6980,133.8807
Darwin,-12.4634,130.8456
Katherine,-14.4650,132.2630
Uluru,-25.3444,131.0369
